n1,n2,n3,n4,n5,n6,n7
34,24,35,7,30,29,33
39,17,11,27,35,1,31
4,5,12,14,42,32,35
5,21,22,8,18,38,10
21,16,27,37,14,6,40
44,42,24,16,33,19,27
37,22,13,2,11,6,14
21,36,35,6,22,32,17
27,23,43,24,1,3,34
12,7,11,31,33,38,5
18,42,14,9,17,44,35
3,34,26,43,2,33,29
41,5,22,7,28,12,1
2,6,13,27,43,17,36
41,36,23,18,17,3,26
42,44,3,34,11,43,13
39,24,34,13,42,32,4
25,18,31,16,20,10,6
15,43,41,22,4,38,26
44,20,4,3,10,28,30
9,19,7,15,23,12,4
25,44,21,39,8,38,28
15,35,14,43,25,23,32
37,38,36,15,6,1,5
45,36,31,23,29,27,37
39,36,3,30,1,33,12
32,38,4,44,10,20,18
17,18,29,7,11,13,43
29,2,40,10,13,22,26
31,4,16,10,36,8,9
4,45,39,42,28,11,6
22,24,41,3,20,15,11
39,12,40,14,27,25,35
12,10,43,35,42,18,39
45,13,1,8,44,36,39
33,32,19,13,2,16,42
37,9,30,10,33,15,26
34,19,30,9,18,40,20
27,17,35,20,3,8,26
30,18,13,41,31,38,5
36,21,44,40,35,14,30
22,4,28,3,15,40,10
2,12,39,30,31,43,38
41,24,33,12,4,22,38
37,7,27,22,42,9,34
26,41,30,28,1,9,32
23,26,33,29,4,9,8
11,25,41,20,10,21,40
4,40,24,15,36,35,1
2,16,35,37,10,9,1
1,14,40,41,24,15,35
30,2,32,45,24,18,14
11,29,33,42,31,20,43
34,28,43,1,31,18,40
19,42,6,34,23,12,35
39,6,21,38,43,36,30
2,29,25,28,13,36,34
21,37,25,34,29,1,36
6,37,13,1,38,40,9
39,24,2,12,5,14,33
45,9,29,40,3,10,7
21,28,11,36,16,9,5
17,2,21,26,18,6,7
37,17,39,23,3,6,26
26,22,41,42,31,37,24
2,16,44,11,1,39,32
9,17,8,22,24,7,5
25,35,14,12,4,37,2
44,22,14,9,2,10,16
7,15,34,1,32,42,8
33,7,11,16,27,21,24
16,23,3,13,35,24,14
27,45,43,41,37,36,32
44,7,21,5,13,20,33
31,13,35,23,26,43,15
37,36,10,35,23,3,18
23,21,44,34,30,17,19
10,7,42,28,41,16,40
23,29,2,38,15,4,7
13,31,41,2,30,20,27
21,18,27,29,17,33,26
36,26,37,4,25,2,28
18,13,25,33,31,44,38
20,33,45,26,12,44,24
6,24,14,42,18,16,44
